i,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,scale.x,scale.y,scale.z,color.x,color.y,color.z
63,-3578.868216808026,1066.9333184657953,388.13332279890005,0.0,0.0,0.0,252.2723388671875,302.098876953125,293.4134521484375,1.0,1.0,1.0
64,7047.237374012287,490.7353204189203,1749.3447485801498,0.0,0.0,0.0,213.114013671875,234.19970703125,190.5396728515625,1.0,1.0,1.0
65,-7738.003836925213,2027.8754571376703,-234.0360154274184,0.0,0.0,0.0,197.772216796875,172.9443359375,190.42397689819336,1.0,1.0,1.0
66,-5299.955863292401,805.3903497157953,-4.83364192277975,0.0,0.0,0.0,232.9364013671875,211.732177734375,244.9286346435547,1.0,1.0,1.0
67,1553.0490195200994,40.05123838767031,1007.1360693809311,0.0,0.0,0.0,299.3988037109375,287.37255859375,333.10772705078125,1.0,1.0,1.0
68,5501.228584949787,-902.4499823154547,924.3611670371812,0.0,0.0,0.0,161.742919921875,152.718994140625,128.18402099609375,1.0,1.0,1.0
69,2730.0154501841616,-2523.8935858310797,-539.5697106483656,0.0,0.0,0.0,610.517578125,534.51708984375,529.1293640136719,1.0,1.0,1.0
70,-5688.480155284588,4026.9018243251703,-905.0938614967544,0.0,0.0,0.0,205.7890625,204.072509765625,238.21269607543945,1.0,1.0,1.0
71,-67.99275904435376,-4845.68167176858,159.61046513288431,0.0,0.0,0.0,258.5199279785156,232.52880859375,227.81167602539062,1.0,1.0,1.0
72,5712.473213856037,3434.1711114345453,1160.9843359824938,0.0,0.0,0.0,167.257080078125,140.09326171875,173.43975830078125,1.0,1.0,1.0
73,-53.22371607560376,3673.181243270483,873.9406348106186,0.0,0.0,0.0,188.03616333007812,189.9776611328125,186.18450927734375,1.0,1.0,1.0
74,7258.065499012287,-722.9573065342047,1869.8463354942123,0.0,0.0,0.0,297.604248046875,269.696044921875,252.0595703125,1.0,1.0,1.0
75,2672.658638660724,232.7184747157953,1084.2870093223373,0.0,0.0,0.0,317.7420654296875,293.040283203125,302.48095703125,1.0,1.0,1.0
76,8981.534493152913,30.42428526267031,655.683890425853,0.0,0.0,0.0,274.70947265625,259.4736328125,217.10202026367188,1.0,1.0,1.0
77,4907.203926746662,601.8222344814203,291.37163456647806,0.0,0.0,0.0,238.357421875,225.6357421875,215.06015014648438,1.0,1.0,1.0
78,5594.682198231037,1276.0317071376703,1754.4013892051496,0.0,0.0,0.0,183.674560546875,177.8671875,168.1185302734375,1.0,1.0,1.0
79,8891.486641590413,-2251.7417303623297,1033.0510474082748,0.0,0.0,0.0,262.78076171875,227.5205078125,273.8514404296875,1.0,1.0,1.0
80,-6497.038749034588,3878.056487411108,264.0794134971423,0.0,0.0,0.0,312.4892578125,316.9161376953125,329.8839874267578,1.0,1.0,1.0
81,-6307.817313487713,1470.3412774501703,1040.4943457481188,0.0,0.0,0.0,177.044677734375,190.17041015625,161.75262451171875,1.0,1.0,1.0
