i,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,scale.x,scale.y,scale.z,color.x,color.y,color.z
70,400.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
71,500.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
72,600.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
73,700.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
74,800.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
75,900.0,0.0,-150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
76,-900.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
77,-800.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
78,-700.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
79,-600.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
80,-500.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
81,-400.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
82,-300.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
83,-200.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
84,-100.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
85,0.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
86,100.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
87,200.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
88,300.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
89,400.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
90,500.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
91,600.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
92,700.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
93,800.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
94,900.0,0.0,-50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
95,-900.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
96,-800.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
97,-700.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
98,-600.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
99,-500.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
100,-400.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
101,-300.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
102,-200.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
103,-100.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
104,0.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
105,100.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
106,200.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
107,300.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
108,400.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
109,500.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
110,600.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
111,700.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
112,800.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
113,900.0,0.0,50.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
114,-900.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
115,-800.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
116,-700.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
117,-600.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
118,-500.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
119,-400.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
120,-300.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
121,-200.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
122,-100.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
123,0.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
124,100.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
125,200.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
126,300.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
127,400.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
128,500.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
129,600.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
130,700.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
131,800.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
132,900.0,0.0,150.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
133,-900.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
134,-800.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
135,-700.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
136,-600.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
137,-500.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
138,-400.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
139,-300.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
140,-200.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
141,-100.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
142,0.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
143,100.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
144,200.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
145,300.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
146,400.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
147,500.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
148,600.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
149,700.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
150,800.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
151,900.0,0.0,250.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
152,-900.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
153,-800.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
154,-700.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
155,-600.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
156,-500.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
157,-400.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
158,-300.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
159,-200.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
160,-100.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
161,0.0,0.0,350.0,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
